id,campus,building,device_name,device_ip,vms_id,grp_serial,dev_serial,dch_ch,vms_ip,vms_ch,geo_pos,layer,floor
(282, None, None, 'SYS 5F NAND 평가센터 후문 장비반입구_152.100', '172.18.152.100', 100371, 1, 739, 0, '10.236.1.103', '1', None, None, None)
(283, None, None, 'SYS 5F NAND 평가센터 라인출입구_152.101', '172.18.152.101', 100371, 1, 740, 0, '10.236.1.103', '2', None, None, None)
(284, None, None, 'SYS 5F NAND 평가센터 EL장비반입구_152.102', '172.18.152.102', 100371, 1, 741, 0, '10.236.1.103', '3', None, None, None)
(285, None, None, 'SYS 5F SYS IC CEO실_152.103', '172.18.152.103', 100371, 1, 742, 0, '10.236.1.103', '4', None, None, None)
(286, None, None, '제조 1F 북동출입구_152.200', '172.18.152.200', 100371, 1, 743, 0, '10.236.1.103', '5', None, None, None)
(287, None, None, '제조 3F 북동 출입구_152.207', '172.18.152.207', 100371, 1, 744, 0, '10.236.1.103', '6', None, None, None)
(288, None, None, '제조 3F 오버브릿지 복도_152.208', '172.18.152.208', 100371, 1, 745, 0, '10.236.1.103', '7', None, None, None)
(289, None, None, '제조 3F 사무실입구_152.209', '172.18.152.209', 100371, 1, 746, 0, '10.236.1.103', '8', None, None, None)
(290, None, None, '제조 화물 7호기 EL_152.202', '172.18.152.202', 100371, 1, 747, 0, '10.236.1.103', '9', None, None, None)
(298, None, None, 'PT3 1F 화물 1호기 EL홀(동남)_162.38', '172.18.162.38', 100371, 1, 748, 0, '10.236.1.102', '8', None, None, None)
(306, None, None, 'PT3 2F 남 라인출입구(여)-162.46', '172.18.162.46', 100371, 1, 749, 0, '10.236.1.102', '16', None, None, None)
(309, None, None, 'PT3 1F 서 라인출입구(여)_162.47', '172.18.162.47', 100371, 1, 750, 0, '10.236.1.102', '19', None, None, None)
(310, None, None, 'PT3 1F 서 라인출입구(남)_162.48', '172.18.162.48', 100371, 1, 751, 0, '10.236.1.102', '20', None, None, None)
(311, None, None, 'PT3 1F 1번반입구 앞 복도-162.49', '172.18.162.49', 100371, 1, 752, 0, '10.236.1.102', '21', None, None, None)
(312, None, None, 'PT3 1F 4번반입구 앞 복도-162.50', '172.18.162.50', 100371, 1, 753, 0, '10.236.1.102', '22', None, None, None)
(313, None, None, 'PT3 1F line Air shower_162.54', '172.18.162.54', 100371, 1, 754, 0, '10.236.1.102', '23', None, None, None)
(314, None, None, 'PT3 1F line Gate_162.55', '172.18.162.55', 100371, 1, 755, 0, '10.236.1.102', '24', None, None, None)
(315, None, None, 'PT3 1F line Gold wire Room_162.56', '172.18.162.56', 100371, 1, 756, 0, '10.236.1.102', '25', None, None, None)
(316, None, None, 'PT3 1F 1번반입구_162.65', '172.18.162.65', 100371, 1, 757, 0, '10.236.1.102', '26', None, None, None)
(317, None, None, 'PT3 1F 2번반입구_162.66', '172.18.162.66', 100371, 1, 758, 0, '10.236.1.102', '27', None, None, None)
(318, None, None, 'PT3 1F 4번반입구_162.67', '172.18.162.67', 100371, 1, 759, 0, '10.236.1.102', '28', None, None, None)
(319, None, None, 'PT3 1F 3번반입구_162.68', '172.18.162.68', 100371, 1, 760, 0, '10.236.1.102', '29', None, None, None)
(320, None, None, 'PT3 1F 5번반입구_162.61', '172.18.162.61', 100371, 1, 761, 0, '10.236.1.102', '30', None, None, None)
(321, None, None, 'PT3 1F 6번반입구_162.62', '172.18.162.62', 100371, 1, 762, 0, '10.236.1.102', '31', None, None, None)
(322, None, None, 'PT3 1F 북 라인출입구(남여)_162.63', '172.18.162.63', 100371, 1, 763, 0, '10.236.1.102', '32', None, None, None)
(323, None, None, 'PT3 1F 검색대 IN_162.64', '172.18.162.64', 100371, 1, 764, 0, '10.236.1.102', '33', None, None, None)
(450, None, None, 'M11/12 C4 화물 12호기EL_176.200', '172.18.176.200', 100371, 1, 765, 0, '10.236.1.103', '10', None, None, None)
(451, None, None, 'M11/12 C1 화물 EL 16호기EL_176.201', '172.18.176.201', 100371, 1, 766, 0, '10.236.1.103', '11', None, None, None)
